index,street_name,URL
109,Artillery Row,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Artillery+Row&town=London
110,Alexandra Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alexandra+Street&town=London
111,Aldridge Road Villas,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Aldridge+Road+Villas&town=London
112,Abberley Mews,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Abberley+Mews&town=London
113,Arbour Square,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Arbour+Square&town=London
114,Aslett Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Aslett+Street&town=London
115,Athelstane Mews,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Athelstane+Mews&town=London
116,Admiral Walk,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Admiral+Walk&town=London
117,Ashbourne Avenue,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ashbourne+Avenue&town=London
118,Admirals Walk,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Admirals+Walk&town=London
119,Aprey Gardens,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Aprey+Gardens&town=London
120,Adamson Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Adamson+Road&town=London
121,Abingdon Villas,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Abingdon+Villas&town=London
122,Aden Grove,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Aden+Grove&town=London
123,Abbotsbury Mews,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Abbotsbury+Mews&town=London
124,Albion Way,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Albion+Way&town=London
125,Alder Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alder+Road&town=London
126,Alston Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alston+Road&town=London
127,Altenburg Avenue,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Altenburg+Avenue&town=London
128,Alderville Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alderville+Road&town=London
129,Akerman Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Akerman+Road&town=London
130,Amersham Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Amersham+Road&town=London
131,Ampthill Square,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ampthill+Square&town=London
132,Ardlui Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ardlui+Road&town=London
133,Achilles Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Achilles+Street&town=London
134,Archel Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Archel+Road&town=London
135,Anglia Walk,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Anglia+Walk&town=London
136,Alverton Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alverton+Street&town=London
137,Argyll Close,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Argyll+Close&town=London
138,Alexandra Walk,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alexandra+Walk&town=London
139,Alberon Gardens,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alberon+Gardens&town=London
140,Acfold Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Acfold+Road&town=London
141,Alwyne Square,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alwyne+Square&town=London
142,Andover Place,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Andover+Place&town=London
143,Argyle Way,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Argyle+Way&town=London
144,Abbotts Crescent,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Abbotts+Crescent&town=London
145,Anchor Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Anchor+Street&town=London
146,Ann's Close,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ann's+Close&town=London
147,Artisan Close,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Artisan+Close&town=London
148,Avoca Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Avoca+Road&town=London
149,Alderbrook Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alderbrook+Road&town=London
150,Albert Close,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Albert+Close&town=London
151,Archbishops Place,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Archbishops+Place&town=London
152,Arlesford Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Arlesford+Road&town=London
153,Ambergate Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ambergate+Street&town=London
154,Avondale Pavement,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Avondale+Pavement&town=London
155,Avonmore Gardens,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Avonmore+Gardens&town=London
156,Ashworth Close,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ashworth+Close&town=London
157,Ardshiel Close,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ardshiel+Close&town=London
158,Aldworth Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Aldworth+Road&town=London
159,Astor Court,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Astor+Court&town=London
160,Addison Terrace,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Addison+Terrace&town=London
161,Abyssinia Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Abyssinia+Road&town=London
162,Anerley Station Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Anerley+Station+Road&town=London
163,Adams Place,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Adams+Place&town=London
164,Ainslie Wood Crescent,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ainslie+Wood+Crescent&town=London
165,Andover Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Andover+Road&town=London
166,Adler Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Adler+Street&town=London
167,Ancaster Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ancaster+Street&town=London
