ad_id,street_name,price,address,bedrooms,bathrooms,reception,link,subway_station,distance,efficient,average_epc_B,average_epc_C,average_epc_D,average_epc_E,average_epc_F,tube_line_Bakerloo,tube_line_Central,tube_line_Circle,tube_line_DLR,tube_line_District,tube_line_Hammersmith & City,tube_line_Jubilee,tube_line_Kew Gardens,tube_line_London Overground,tube_line_London Underground,tube_line_Metropolitan,tube_line_Northern,tube_line_Piccadilly,tube_line_Victoria,tube_line_nan
161477,Rochester Row,1350000.0,"Westminster, SW1P",2,2,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-rochester-row-london-sw1p/161477,St.James's Park,0.27,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
151909,Norfolk Crescent,3990000.0,"Hyde Park, W2",4,3,2,https://www.dexters.co.uk/property-for-sale/house-for-sale-in-norfolk-crescent-london-w2/151909,Edgware Road,0.26,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
146131,Abbey Road,3895000.0,"St John's Wood, NW8",4,3,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-abbey-road-london-nw8/146131,St.John's Wood,0.23,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
154854,Brompton Road,3895000.0,"Knightsbridge, SW3",2,2,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-brompton-road-london-sw3/154854,Knightsbridge,0.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154854,Brompton Road,3895000.0,"Knightsbridge, SW3",2,2,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-brompton-road-london-sw3/154854,Knightsbridge,0.13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
159838,Brompton Road,2000000.0,"Chelsea, SW3",2,2,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-brompton-road-london-sw3/159838,South Kensington,0.19,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
159838,Brompton Road,2000000.0,"Chelsea, SW3",2,2,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-brompton-road-london-sw3/159838,South Kensington,0.19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121710,Romney Street,3700000.0,"Westminster, SW1P",5,5,1,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-romney-street-london-sw1p/121710,Westminster,0.39,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121710,Romney Street,3700000.0,"Westminster, SW1P",5,5,1,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-romney-street-london-sw1p/121710,Westminster,0.39,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121711,Romney Street,2950000.0,"Westminster, SW1P",5,5,1,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-romney-street-london-sw1p/121711,Westminster,0.39,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
